Description,groupTreatment
"נושא: הכפלת דרישה  שלום רב,  גם היום כאשר הפקתי דרישה 8440 ו- 8450 הוא שכפל את הדרישה פעמיים. ראו צילום מסך בשמירת ההודעה במסמכי   התכנית / תכתובות   [cid:image001.png 01D6BB63.94272C80]  בברכה,   ...",צוות הדרכה והטמעה אפליקטיבי
"נושא: טעות בדרישה שלום רב, מספר תוכנית 9-03-140-3  באירוע 3085 קיימת טעות בדרישה מס' 4481 דרישה זו צריכה להיות רישום נתוני פרסום בעיתונות בדבר אישור תיקון טעות סופר (ראו דרישה 6608 המתייחסת לרשומות...",צוות הדרכה והטמעה אפליקטיבי
"נושא: קריאה היי,  מבקש להעביר את הקריאה הבאה לצוות סיסטם. היי ארז, בהמשך להתקנה שעשיתם, שכל אייקון של מאור יקבל כתובת חדשה שממנה הוא יפתח את המיקום החדש של המאור, מרכז התמיכה עדיין ממשיך לקבל קריאו...",צוות הדרכה והטמעה אפליקטיבי
"נושא: חיבור לטרמינל PROD-TERM20 שלום בנסיון בחיבור מרוחק התחברתי לטרמינל הנל לא ניתן לפתוח או ללחוץ על לחצן ""התחל""  נא בדיקתכם ",צוות תשתיות/סיסטם
"נושא: חיבור מרחוק -לחצן windoes לא פעיל שלום,  בחיבור מרחוק הלחצן  windoes/התחל לא פעיל ולא מגיב. ניסיתי להתחבר מחדש מספר מעמים ועדיין לא עוזר  PROD-TERM18 קורה גם בחיבור RDP  משתמש הונחה בינתיים ל...",צוות תשתיות/סיסטם
"נושא: עדכון כותרת סדר יום / מסמך החלטות שלום רב,  בגרסה החדשה, כאשר אנו מפיקים סדר יום או מסמך החלטות הושמט  בדף הראשון -             מדינת ישראל    יחידת סמך משרד הפנים    מצ""ל דוגמא איך שתמיד סדר...",צוות הדרכה והטמעה אפליקטיבי
"נושא: הוספת אנשי קשר משרד האוצר לפנקס הכתובות ואפשרות מציאתם בעברית   בברכה, [cid:image001.png 01D616FB.C74A8380]  ",צוות מרכז תמיכה URD
"נושא: תקלה בשעון של שרתי MYGOV   השעה בסביבות היצור / טסט / DEV  Sun 06 Dec 2020 01:02:44 PM UTC  יש לסדר לשעה הנכון (עוד שעתיים)     בברכה, אלעד גבאי [signature]  ",צוות אינטגרציה
"נושא: תכתובת שבתכנית 408-0186015 - נעלם תאריך יצירה ?! לקוחה לא רואה תאריך יצירה בשום תוכנית. לאחר בדיקה בתוכנית 422-0135517 המפתח נימצא אצל הועדה המחוזית ועדיין לא מופיע תאריך יצירה. שלום, ראו ציל...",צוות הדרכה והטמעה אפליקטיבי
נושא: PROD1071 יש התנתקויות מ   אנשים שעובדים בARCMAP בRDP – נתקלים בהתנתקויות כל העובדים מתחברים לשרת בכתובת PRODGISTERM1071.IPLAN.GOV.IL נא לבדוק דחוף  [cid:image001.png 01D66427.20746750]  ,צוות תשתיות/סיסטם
"נושא: RE: שינויים ב Devolutions התקנה של RDM עם חיבור ל DB  של הסיסטם הוקצה רישיון על ע""י אליעד  בברכה, אלעד גבאי [signature]  From: אליעד רוכברגר Sent: Wednesday, December 16, 2020 7:20 PM To: אלע...",צוות תשתיות/סיסטם
"נושא: הגדרת OUTLOOK בוקר טוב, תיבה- חיפה פיצויים והיטלי השבחה- haifaphh@iplan.gov.il ישנה אצלנו בעיה, מיליים אשר נשלחים מכתובת המייל הכללית של הוועדה מופיעים בתיבת הדואר היוצא של המיילים הפרטיים ול...",צוות תשתיות/סיסטם
נושא: מבקשים לקבל גיבוי ישן של mavat12-card - מלפני שנתיים   [cid:image001.png 01D66427.20746750]  ,צוות תשתיות/סיסטם
"נושא: שליפת אנשי קשר במאור שלום רב,  אשמח שההגדרות שלי במאור ישלפו את אנשי הקשר קודם כל מספר כתובות ות""ל. רק אם שם האנשים לא נמצאים, אשמח שישלפו מספר כתובות חיצוני.  תודה, [cid:image001.jpg 01D6DCE...",צוות הדרכה והטמעה אפליקטיבי
"נושא: הדרכה בנושא הכנסת נוסחים למערכת ושליחתם לרשומות  שלום אנחנו מבקשים לעבור הדרכה על הכנסת נוסחים חתומים למערכת, שליחתם לרשומות והחתמה דיגיטלית (חותמת מים) לתוכניות שהם לא 108 ג' 074-7697483 [ci...",צוות הדרכה והטמעה אפליקטיבי
"נושא: תקלה במג'יק היי, כשאני רוצה להזין כתב אישום חדש, לאחר שאני לוחצת ""אישור"" מופיעה ההודעה הבאה: [cid:image001.png 01D6DDE8.A71746C0]  [חתימה אביגיל]  ",צוות פיקוח על הבניה
"נושא: FW: שגיאה רישוי זמין שלום, ראו הודעת שגיאה בעבודה על הרישוי הזמין. (המספרים המופיעים בהודעות לא מובילים למוקדי תמיכה). תוכל לסייע עם הורדת הסרגל הנדרש? אם צריך להעלות את זיו שמי כאדמיניסטרייט...",צוות תשתיות/סיסטם
"נושא: תיקון תקלה / שיפור במבא""ת היי מנחם ואלי, יש לי הצעה לשיפור שאולי תוכלו לנתב אותי למי שיידע לטפל בה- בהוראות תכנית בטבלה 1.7 (רשימת מסמכים) יש עמודה של ""מספר עמודים"". המספר הזה מוזן ידנית על י...",צוות הדרכה והטמעה אפליקטיבי
"נושא: תכנית מספר 656-0641720 שלום רב,  התכנית שבנדון היתה בסמכות מקומית והועדה המחוזית החליטה לאמץ את הפקדתה ולהמשיך כתכנית בסמכות מחוזית  באירוע 2650 – דיון בהתנגדויות אני לא מצליחה לסגור דרישה 79...",צוות הדרכה והטמעה אפליקטיבי
"נושא: FW: ‏‏תיבת הדואר שלך כמעט מלאה. שלום אנא הגדילו לי את התיבה הלית  Vkh,  [cid:image001.jpg 01D6A6F3.9E35FB90]  From: Microsoft Outlook Sent: Saturday, January 2, 2021 12:09 PM To: הלית גונן‏ <...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: משתמש נעול בוקרטוב, קרני פוקס שיושבת לידי לא מצליחה להיכנס למחשב שלה ומופיע לה המסך הבא, אנא טפלו בזה. תודה  [cid:image001.jpg 01D6E19F.573DB5C0]  [עידו לוי]  ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: Re: הקמת שם משתמש חדש לעובד חדש ללשכת התכנון יו""ש לב סטרנין ת""ז 317074987   נשלח מ- ארז אטלי   מכתובת מייל: erezatmnz.gov@gmail.com האם טופל?  תצוגה מקדימה של הקובץ המצורף טפסים משתמש חדש לב ...",צוות טכנאים
נושא:  בוקר טוב  צריכה עזרה בחיבור קומה 2 אולם ערבה תודה  נשלח מ-Workspace ONE Boxer ,צוות טכנאים
"נושא: מדפסת תקועה  היי, המדפסת בחדר של איילה תמיד נתקעת אשמח אם אפשר לשלוח מישהו לראות למה היא תקועה ואיטית  [cid:image001.png 01D6E1A9.7E32CF30]  ",צוות טכנאים
"נושא: פתיחת תקלה : איטיות של המחשב  שלום,  רציתי לפתוח תקלה על איטיות בתגובה של המחשב . לוקח לו מלא זמן לפתוח דברים לדוגמא : פתיחת קובץ PDF פתיחת קובץ וורד העלאת דף אינטרנט (רציתי לפתוח קריאה בפורט...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW:    [cid:image002.jpg 01D6E1B0.4F98B570] אתר מינהל התכנון - http://www.iplan.gov.il<http://www.iplan.gov.il/Pages/HomePage.aspx>     From: אליהו עמרמי Sent: Sunday, January 3, 2021 8:18 AM...",7878 מרכז שירות ותמיכה טכנולוגית
" license in VS בוקר טוב,  הבוקר מופיע לי הודעה בVS שבעוד 4 ימים הlicense תפוג תוקף מצורף צילום מסך ",צוות טכנאים
"נושא: נעלם אייקון bi של הדוחות בוקר טוב,  אבקש לטפל בפנייה שלי כדי שאוכל לבצע דוחות סוף חודש.  נעלם לי האייקון של ה-bi משולחן העבודה. טרמינל- prod-termarr05 התוכנה לא קיימת גם בRDP התוכנה לא נמצאה ...",צוות טכנאים
בכניסה למעקב ובקרה בטרמינל נזרקת החוצה כשנכנסת לקובץ exel  מעקב ובקרה -דוחות/שאילתות -ריכוז דוחות exel  דחוף חדש! עררים לשימוש כלל הוועדות  בהפיכה עריכה לזמינה  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: דחוף דחוף בעיה באינטרנט באולם ערבה  הם בזמן דיון ויש להם בעיה עם האינטרנט באולם ערבה  בבקשה תדברו עם אלה גורדון 0532861988  דחוף מאוד  מחוברת ממחשב נייד לWIFI של מינהל התכנון, טוענת שיש בעיות...",צוות טכנאים
"נושא: יעל מלכה - בקשה לפתיחת יוזר למחשב בוקר אור,  אודה לפתיחת יוזר למחשב, עבור העובדת יעל מלכה מאגף רגולציה, שהחלה היום את העסקתה. הרשאות כמו- איליה  מנהל ישיר : איליה טורקות  תודות !!    בברכה,  ...",צוות טכנאים
"היי, מבקשת להוסיף לרשימת אנשי הקשר של מינהל התכנון את: רינת חנוך, המחלקה להנחיית התובעים מוסמכי היועמ""ש לממשלה נייד: 050-706-1702 מייל: RinatH@justice.gov.il ",צוות טכנאים
"נושא: FW: משתמש חדש עבור עינב יגל שלום רב, היום התחילה לעבוד בלשכת התכנון,  עינב יגל כמנהלת תחום אדריכלות (נראה לי כי עדיין אין לה כתובת דוא""ל). לכשיהיה לה כתובת דוא""ל,  אבקש לצרפה לקבוצת ""ק. ל. תכ...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0105200   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d33001042b4b8...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: Case CS0105200 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d330...,7878 מרכז שירות ותמיכה טכנולוגית
"TFS נופל כל הזמן, לא מדובר על שגיאה קבועה. בבדיקה לא הופיע שגיאה המסך הסתובב כאילו מנסה להיטען ולא התחבר. בדקה עם עוד עובדת שלה כן עבד, אם התחברה עם המשתמש שלה אז זה לא עבד. כרגע כן עובד אבל העובדת...",צוות טכנאים
נושא: BI היי אין לי הרשאה לbi לועדות ערר נא לעזרתכם  [cid:image001.png 01D6E1CD.A60A5A90]  [cid:image002.jpg 01D6E1CD.A60A5A90]  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: הודעה בדבר פרסום בקשה להקלה על פי הוראות סעיף 149 לחוק התכנון והבניה התשכ""ה- 1965  - תת""ל 26/ 186 א'- הפרדה מפלסית אפק שלום,  אני לא מצליח לפתוח קבצי מאור שנשלחים מהות""ל, כמו זה.  [לכידה]...",7878 מרכז שירות ותמיכה טכנולוגית
נושא:  שלום  צריכה הגדרת מדפסת  נשלח מ-Workspace ONE Boxer ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: דרישה למצלמת אינטרנט למחר בשמונה בבוקר  04-01-21 8:00 עד 14:00 חדר חדר 506 קומה 5 הנני משתתפת בקורס דיני מכרזים שמתקיים בזום (כל יום שני בין התאריכים 28.12.20 עד 15.2.21),צוות טכנאים
"נושא: תכנית 352-0743757 מתחם העירייה קרית ים שלום.  בעת קליטת התכנית במערכת קיבלתי הודעה שהקבצים גדולים מדיי. בסיום התהליך התכנית נקלטה אך אני חושבת שלא כל נספחי התכנית הועלו, כגון חוות דעת אקלימית...",צוות הדרכה והטמעה אפליקטיבי
"נושא: RE: תקלה בARCMAP בייצוא מפות לPDF שלום רב, לאור תשובה של דודו לענת, נדרש פתרון מאחר והמוצע ע""י ענת לא התקבל. כרגע לא הותקן לנו דבר ואנו (וגם כלל הארגון) עדיין עם התקלה. בברכה איל  From: ענת מ...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: לא מצליחה להתחבר מרחוק למחשב RZ056437 ייתכן שהמחשב מכובה?  מדובר במחשב בבית מניבים (חדר 14) ששייך לחיה שרייבר  תודה  [cid:image001.png 01D6E1E7.C1C2EA80]  [cid:image001.png 01D4C21C.23964330]...,7878 מרכז שירות ותמיכה טכנולוגית
"מבקש שיכניסו אותו ואת איל מהריאן בדוא""ל לקבוצת  ""מטה מינהל התכנון""‏ mateminhalhaticnun@iplan.gov.il מיילים שנשלחים שם צריכים להגיע אליהם (Jonas@iplan.gov.il) ואל איל מהריאן (EyalM@iplan.gov.il)  ",צוות טכנאים
נושא: ריקון מיכל עודפים מדפסת צבעונית בקומה 2 המדפסת אינה עובדת! שם מדפסת:X8030_2 ip 10.53.3.13 מצורפת תמונה עם השגיאה שהמיכל מלא ,צוות טכנאים
"נושא: היי, מבקשת לעדכן את  פרטי נציגי מועצה מקומית תל מונד במעקב ובקרה לצורך שליחת זימונים והחלטות  לין קפלן, ראש מועצה מקומית תל מונד - lynn tel-mond.muni.il<mailto:lynn tel-mond.muni.il> יגאל קרז...",7878 מרכז שירות ותמיכה טכנולוגית
לא קיים כרטיס חכם קבוע עדיין התקנת חיבור OTP ,צוות טכנאים
נושא:  תקלה במדפסת Nenq136 - חדר 421  מדפסת לא פועלת ip 10.53.3.128,צוות טכנאים
נושא: שאול רבינוביץ - בקשה לפתיחת יוזר,צוות טכנאים
"נושא: שאול רבינוביץ - בידוק ביטחוני  בהמשך למייל הקודם, ראו את הבידוק הביטחוני של שאול רבינוביץ אודה לפתיחת יוזר וחיבור העובד מרחוק.. הנושא קצת דחוף. תודה רבה רבה ??  בברכה,  [אפרת בכר חדש]  From: ...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: שאול רבינוביץ - בידוק ביטחוני From: אפרת בכר Sent: Monday, January 4, 2021 8:24 AM To: תמיכה טכנית מינהל התכנון‏ <iplan ness-os.com> Cc: דודו עוזר‏ <DuduOz iplan.gov.il> Subject: שאול רבי...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא:   שלום לא יכולה להדפיס נשלח מ-Workspace ONE Boxer לא מצליחה להדפיס, נדבר שבוחרת במדפסת הנכוחה (RIDARECT 7 ) לאחר בדיקה המדפסת לא מצדיפה לה גם על המחשב המקומי. לא מוצגת הודעת שגיאה כלשהי. בוצע...",צוות טכנאים
"נושא: משתמש נעול   נשלח מ- יהודית שינ  דלר מכתובת מייל: yehudit.shindler@gmail.com שלום,  המשתמש שלי ננעל משום מה - yehudits אודה לשחרור המשתמש  תודה, יהודית שינדלר ",7878 מרכז שירות ותמיכה טכנולוגית
עזרה מהפעלת ישיבת זום בחדר ישיבות שקמה,צוות טכנאים
"נושא: תא/ 1120/ 82342 היי, אני חייבת לשנות את תאריך הפתיחה ל12/11/2020. זה ממש דחוף. ---------  ביקשה לחזור אליה ב12  [cid:image001.png 01D6E280.DD46E330] ",צוות הדרכה והטמעה אפליקטיבי
"נושא: תכנית 605-06759959 - תאריך סגירת שלב לפני סיום טיפול בתכנית  - -ד דחוף –  שלום רב,  לא ברור מדוע בשלב 1050 קיים תאריך לסגירת השלב. תאריך הסגירה קטן מתאריך פתיחת השלב כך שזה גם תמוהה.  לפיכך א...",צוות הדרכה והטמעה אפליקטיבי
הושאלה מצלמה לתבור,צוות טכנאים
נושא: עדכון חברי ועדה - נשאת כיוף   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=http%3a%2...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדכון חברי ועדה - כרמית פנטון   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=http%3a...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: בעלי עניין למחוז תל אביב  שלום,  אני מבקשת לעדכן את מהנדסי הערים של מחוז תל אביב כבעלי עניין למחוז. אודה לטיפולכם בנושא. תודה [sign]  ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדכון חברי ועדה - רווית קלפנר   נשלח מ- <טפסים>   מכתובת מייל: portal@iplan.gov.il <טפסים><http://ishare/forms/_layouts/15/ClickRedirect.aspx?Tag=immediate%5fGenericList%5fSite&Target=http%3a...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: הוספת חתימה במייל והוספה לרשימת סריקה במדפסת הגדולה.   נשלח מ- אורית ברק   מכתובת מייל: oritbarak@iplan.gov.il שלום.  אבקש להוסיף לי חתימה בשליחת מיילים וכן להוסיף אותי לרשימת סריקה במדפסת הג...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: RE: משתמש חדש עבור עינב יגל עדיין לא מצליח לאתר את כתובת הדוא""ל של עינב יגל. האם כתובת הדוא""ל כבר נוצרה/ עודכנה במערכת (שעיתי עדכון לפנקס הכתובות ועדיין לא מצאתי) ? תודה גידי  From: גידי בן-ע...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0105552   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d33001042b4b8...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: Case CS0105552 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d330...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: כניסה לפורטל הספקים שלום רב  לא מצליחה להיכנס לפורטל כבר מס' שעות וחייבת לאשר דוחות של יועצים  לטיפולכם אודה  [איריס בודקוב] אתר מינהל התכנון - http:\\www.iplan.gov.il<http://www.iplan.gov.il...,7878 מרכז שירות ותמיכה טכנולוגית
התקנת חיבור מרוחק ------------------ תז:317074987 אנטי וירוס:windows defender  windows 10  כרטיס ומקודד admin,צוות טכנאים
נושא: New case opened in Bynet Data Communication: CS0105611   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d33001042b4b8...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: Case CS0105611 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d330...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: תכניות ללא שם תכנית שיש לעדכנם ( מחוז מרכז)   1.  פת/ מק/ 2007/ א לעדכן: שינוי לתכנית מתאר פת/ 2000 , פת/ במ/ 2007  בברכה, [חתימה למייל] בקרו אותנו באתר - http://www.iplan.gov.il<http://www.i...",7878 מרכז שירות ותמיכה טכנולוגית
"נושא: קובץ נאבד שלום,  ע""פ המלצתכם אתמול עשיתי restart למחשב בעמדה, אבל אני לא מוצא חזרה קובץ drawio שהיה פתוח ? איך אפשר לשחזר אותו?  תודה!  בברכה, [איתן סבג]   ",7878 מרכז שירות ותמיכה טכנולוגית
"נושא:  בוקר טוב יש לנו היום דיונים היום באולם אודם קומה 7 במנהל תכנון- אודה לטכנאי שיוכל להגיע ולסייע בחיבור פה..  מחשב מנהלי לא מוצג, בוחרים במחשב מנהלי בפאנל, ובמקרן ראשי, לוחצים על המקלדת והעכבר...",צוות טכנאים
נושא: FW: מתחם יוספטל חולון ובת ים בוקר טוב אשמח להבין מדוע מייל זה שהוא נכון ולא שגוי (ביררתי בעירית חולון) חוזר גם בעירית חולון לא ברור להם מדוע אינם מקבלים תודה   [שרית בנימין]  From: Microsoft ...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הוספת הרשאת 'מגיש תכנית' במעקב ובקרה שלום,  אני צריכה להוסיף בבקשה את האפשרות של הרשאת 'מגיש' במערכת מעקב ובקרה.  תודה רבה ויום טוב   בברכה, [חתימה- ים וחופים] תחום ים וחופים<https://www.gov....",צוות הדרכה והטמעה אפליקטיבי
"נושא: מנסה להיכנס למערכת דיווח נוכחות ולא מצליחה   בברכה, צופיה חברוני מקדמת ומלווה פרויקטיי GIS בתכנון [cid:image001.jpg 01D6E33B.CEA00EE0]  ",7878 מרכז שירות ותמיכה טכנולוגית
מבקשת מצלמה למחר- 06/01/2021 בשעה 10:00 לוועדת בוחנים לממונה מתכנן- נבוא לאסוף את זה. ,צוות טכנאים
לעובד יש כרטיס עובד חדש שהוא עדיין לא מקודד. מבקש פתרון לחיבור מרחוק עד שיקדדו לו את הכרטיס. נא להתקין לו חיבור OTP זמני על מנת שיוכל לעבוד מרחוק ,צוות טכנאים
"נושא:  שלום  לא מצליחה לעבוד על הלוז בקובץ וורד רשום נעול יץע""י ארז לביא, אין לי מושג מי זה  תודה  נשלח מ-Workspace ONE Boxer ",7878 מרכז שירות ותמיכה טכנולוגית
נושא: בעיה במדפסת  שם מדפסת: netq48 מיקום מדפסת: קומה 4 חדר מספר 438 i.p מדפסת: 10.53.3.48  המדפסת לא מדפיסה אצלי והתקלה הרשומה בה היא שאין דפים (כאשר יש דפים).  כשאני לוחצת על OK מספר פעמים זה מסת...,7878 מרכז שירות ותמיכה טכנולוגית
נושא: הרשאות שלום לצורך פיתוח אני צריכה הרשאות לשנות הגדרות ב Control Panel\Programs\Programs and Features ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: FW: הוראות 61   נשלח מ- עידן עמית   מכתובת מייל: idanami@iplan.gov.il שלום, אני מנסה בשעות האחרונות לשלוח קובץ WORD שהורדתי מהמערכת לנמען חיצוני. ההודעה חוזרת אלי עם השגיאה הבאה.  אשמח להבין ...",7878 מרכז שירות ותמיכה טכנולוגית
נושא:  שלום  לאחר שהוספתי טונר צהוב בהמלצת שימי עדיין המדפסת לא מדפיסה  נשלח מ-Workspace ONE Boxer ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: New case opened in Bynet Data Communication: CS0105929   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d33001042b4b8...,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: הרשאת כתיבה במעקב ובקרה שלום אבקש הרשאת ליישות ""נושא"" וישות כללית ועדכון מסמכים: מספר ישות: תכנית/ אסטרטגית/ 2040/ מט   לצורך קליטת מצגות שהוצגו בדיונים.  בתודה   בברכה,  [cid:image001.jpg 01...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: נחסמה לי הסיסמא Aa1234567   נשלח מ-Workspace ONE Boxer ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: לא מצליחה לגשת לדיווח נוכחות . אורית 050-6204780  ,7878 מרכז שירות ותמיכה טכנולוגית
"נושא: RE: תקלה בARCMAP בייצוא מפות לPDF שלום איל.  אם הבנתי נכון, יש בעיה בייצוא מפות ל PDF. חלק מהטקסט מופיע הפוך.  האפשרות שענת הציעה היא ממש בעייתי, כי היא חושפת את הארגון לבעיות אבטחה.  כמו שיו...",7878 מרכז שירות ותמיכה טכנולוגית
נושא: עדין לא מצליחה להכנס למחשב עם הסיסמא   נשלח מ-Workspace ONE Boxer ,7878 מרכז שירות ותמיכה טכנולוגית
נושא: פתיחת יוזר במעקב ובקרה. 0508698753 אבקש לפתוח לי יוזר במעקב ובקרה. ת.ז 038082871 Oritb שם משתמש: ועדת ערר י-ם לתת הרשאות כמו דנית סעדון.,7878 מרכז שירות ותמיכה טכנולוגית
נושא: Case CS0105929 handled and resolved in Bynet Data Communication   נשלח מ- Bynet Data Communication Service   מכתובת מייל: bynetprod@service-now.com [cid:sys_attachment.dosys_id0867df17db9d330...,7878 מרכז שירות ותמיכה טכנולוגית
